Cause of death,Cause of death Code,Deaths,Population,Crude Rate
Congenital hypothyroidism without goitre,E03.1,26.0,1984987277.0,0.0
Myxoedema coma,E03.5,1105.0,1984987277.0,0.1
"Hypothyroidism, unspecified",E03.9,9316.0,1984987277.0,0.5
Nontoxic single thyroid nodule,E04.1,55.0,1984987277.0,0.0
Nontoxic multinodular goitre,E04.2,57.0,1984987277.0,0.0
"Nontoxic goitre, unspecified",E04.9,182.0,1984987277.0,0.0
Thyrotoxicosis with diffuse goitre,E05.0,399.0,1984987277.0,0.0
Thyrotoxicosis with toxic multinodular goitre,E05.2,20.0,1984987277.0,0.0
Thyroid crisis or storm,E05.5,313.0,1984987277.0,0.0
"Thyrotoxicosis, unspecified",E05.9,1346.0,1984987277.0,0.1
Autoimmune thyroiditis,E06.3,152.0,1984987277.0,0.0
"Thyroiditis, unspecified",E06.9,26.0,1984987277.0,0.0
"Disorder of thyroid, unspecified",E07.9,564.0,1984987277.0,0.0
"Insulin-dependent diabetes mellitus, with coma",E10.0,194.0,1984987277.0,0.0
"Insulin-dependent diabetes mellitus, with ketoacidosis",E10.1,2395.0,1984987277.0,0.1
"Insulin-dependent diabetes mellitus, with renal complications",E10.2,6817.0,1984987277.0,0.3
"Insulin-dependent diabetes mellitus, with ophthalmic complications",E10.3,33.0,1984987277.0,0.0
"Insulin-dependent diabetes mellitus, with neurological complications",E10.4,273.0,1984987277.0,0.0
"Insulin-dependent diabetes mellitus, with peripheral circulatory complications",E10.5,818.0,1984987277.0,0.0
"Insulin-dependent diabetes mellitus, with other specified complications",E10.6,93.0,1984987277.0,0.0
"Insulin-dependent diabetes mellitus, with multiple complications",E10.7,1756.0,1984987277.0,0.1
"Insulin-dependent diabetes mellitus, without complications",E10.9,11619.0,1984987277.0,0.6
"Non-insulin-dependent diabetes mellitus, with coma",E11.0,496.0,1984987277.0,0.0
"Non-insulin-dependent diabetes mellitus, with ketoacidosis",E11.1,2888.0,1984987277.0,0.1
"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,79069.0,1984987277.0,4.0
"Non-insulin-dependent diabetes mellitus, with ophthalmic complications",E11.3,84.0,1984987277.0,0.0
"Non-insulin-dependent diabetes mellitus, with neurological complications",E11.4,1795.0,1984987277.0,0.1
"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,10601.0,1984987277.0,0.5
"Non-insulin-dependent diabetes mellitus, with other specified complications",E11.6,1289.0,1984987277.0,0.1
"Non-insulin-dependent diabetes mellitus, with multiple complications",E11.7,12906.0,1984987277.0,0.7
"Non-insulin-dependent diabetes mellitus, without complications",E11.9,121278.0,1984987277.0,6.1
"Malnutrition-related diabetes mellitus, with ketoacidosis",E12.1,17.0,1984987277.0,
"Malnutrition-related diabetes mellitus, with renal complications",E12.2,64.0,1984987277.0,0.0
"Malnutrition-related diabetes mellitus, with peripheral circulatory complications",E12.5,17.0,1984987277.0,
"Malnutrition-related diabetes mellitus, with multiple complications",E12.7,10.0,1984987277.0,
"Malnutrition-related diabetes mellitus, without complications",E12.9,238.0,1984987277.0,0.0
"Other specified diabetes mellitus, without complications",E13.9,15.0,1984987277.0,
"Unspecified diabetes mellitus, with coma",E14.0,1147.0,1984987277.0,0.1
"Unspecified diabetes mellitus, with ketoacidosis",E14.1,21954.0,1984987277.0,1.1
"Unspecified diabetes mellitus, with renal complications",E14.2,86381.0,1984987277.0,4.4
"Unspecified diabetes mellitus, with ophthalmic complications",E14.3,64.0,1984987277.0,0.0
"Unspecified diabetes mellitus, with neurological complications",E14.4,1492.0,1984987277.0,0.1
"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,12366.0,1984987277.0,0.6
"Unspecified diabetes mellitus, with other specified complications",E14.6,1413.0,1984987277.0,0.1
"Unspecified diabetes mellitus, with multiple complications",E14.7,13933.0,1984987277.0,0.7
"Unspecified diabetes mellitus, without complications",E14.9,180938.0,1984987277.0,9.1
Nondiabetic hypoglycaemic coma,E15,124.0,1984987277.0,0.0
Drug-induced hypoglycaemia without coma,E16.0,20.0,1984987277.0,0.0
Other hypoglycaemia,E16.1,25.0,1984987277.0,0.0
"Hypoglycaemia, unspecified",E16.2,3302.0,1984987277.0,0.2
Abnormal secretion of gastrin,E16.4,23.0,1984987277.0,0.0
"Hypoparathyroidism, unspecified",E20.9,28.0,1984987277.0,0.0
Primary hyperparathyroidism,E21.0,145.0,1984987277.0,0.0
"Secondary hyperparathyroidism, not elsewhere classified",E21.1,13.0,1984987277.0,
"Hyperparathyroidism, unspecified",E21.3,475.0,1984987277.0,0.0
"Disorder of parathyroid gland, unspecified",E21.5,16.0,1984987277.0,
Acromegaly and pituitary gigantism,E22.0,71.0,1984987277.0,0.0
