Cause of Death,ICD Code,Deaths,Population,Crude Rate
Malignant neoplasms,C00-C97,539758,Not Applicable,Not Applicable
Diseases of heart,"I00-I09,I11,I13,I20-I51",515159,Not Applicable,Not Applicable
COVID-19,U07.1,144945,Not Applicable,Not Applicable
Cerebrovascular diseases,I60-I69,128019,Not Applicable,Not Applicable
Accidents,"V01-X59,Y85-Y86",120728,Not Applicable,Not Applicable
Alzheimer disease,G30,100431,Not Applicable,Not Applicable
Chronic lower respiratory diseases,J40-J47,76208,Not Applicable,Not Applicable
Diabetes mellitus,E10-E14,66878,Not Applicable,Not Applicable
Parkinson disease,G20-G21,46913,Not Applicable,Not Applicable
"Nephritis, nephrotic syndrome and nephrosis","N00-N07,N17-N19,N25-N27",38870,Not Applicable,Not Applicable
Intentional self-harm (suicide),"X60-X84,Y87.0",38802,Not Applicable,Not Applicable
Chronic liver disease and cirrhosis,"K70,K73-K74",36446,Not Applicable,Not Applicable
Influenza and pneumonia,J09-J18,31690,Not Applicable,Not Applicable
Essential hypertension and hypertensive renal disease,"I10,I12,I15",31485,Not Applicable,Not Applicable
Septicemia,A40-A41,29994,Not Applicable,Not Applicable
