Cause of Death,ICD Code,Deaths,Population,Crude Rate
Diseases of heart,"I00-I09,I11,I13,I20-I51",1171899,Not Applicable,Not Applicable
Malignant neoplasms,C00-C97,1001225,Not Applicable,Not Applicable
Accidents,"V01-X59,Y85-Y86",396909,Not Applicable,Not Applicable
COVID-19,U07.1,365813,Not Applicable,Not Applicable
Cerebrovascular diseases,I60-I69,269443,Not Applicable,Not Applicable
Chronic lower respiratory diseases,J40-J47,261284,Not Applicable,Not Applicable
Alzheimer disease,G30,188976,Not Applicable,Not Applicable
Diabetes mellitus,E10-E14,169879,Not Applicable,Not Applicable
Chronic liver disease and cirrhosis,"K70,K73-K74",94939,Not Applicable,Not Applicable
"Nephritis, nephrotic syndrome and nephrosis","N00-N07,N17-N19,N25-N27",94398,Not Applicable,Not Applicable
Intentional self-harm (suicide),"X60-X84,Y87.0",84421,Not Applicable,Not Applicable
Influenza and pneumonia,J09-J18,72823,Not Applicable,Not Applicable
Essential hypertension and hypertensive renal disease,"I10,I12,I15",71191,Not Applicable,Not Applicable
Septicemia,A40-A41,70210,Not Applicable,Not Applicable
Parkinson disease,G20-G21,57392,Not Applicable,Not Applicable
