Notes,15 Leading Causes of Death,15 Leading Causes of Death Code,Deaths,Population,Crude Rate
,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",GR113-112,72808,182673408,39.9
,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29967,182673408,16.4
,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,28385,182673408,15.5
,#Malignant neoplasms (C00-C97),GR113-019,6181,182673408,3.4
,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",GR113-054,4430,182673408,2.4
,#COVID-19 (U07.1),GR113-137,2140,182673408,1.2
,"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",GR113-109,1700,182673408,0.9
,#Diabetes mellitus (E10-E14),GR113-046,1532,182673408,0.8
,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,962,182673408,0.5
,#Chronic lower respiratory diseases (J40-J47),GR113-082,894,182673408,0.5
,#Influenza and pneumonia (J09-J18),GR113-076,817,182673408,0.4
,#Cerebrovascular diseases (I60-I69),GR113-070,799,182673408,0.4
,"#Legal intervention (Y35,Y89.0)",GR113-130,585,182673408,0.3
,#Septicemia (A40-A41),GR113-010,545,182673408,0.3
,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",GR113-097,333,182673408,0.2
---,,,,,
"Dataset: Underlying Cause of Death, 2018-2023, Single Race",,,,,
Query Parameters:,,,,,
Single-Year Ages: 18 years; 19 years; 20 years; 21 years; 22 years; 23 years; 24 years,,,,,
Group By: 15 Leading Causes of Death,,,,,
Show Totals: Disabled,,,,,
Show Zero Values: Disabled,,,,,
Show Suppressed: Disabled,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,
---,,,,,
"Query Date: Mar 12, 2025 11:30:46 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,",,,,,
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 12, 2025 11:30:46 AM",,,,,
---,,,,,
Messages:,,,,,
"1. When you group results by 15 Leading Causes, results are initially ordered by Death counts; also, total rows, zero rows,",,,,,
"suppressed rows, and Percent of Total are not available. Click any green up/down arrow to change the order. #Top15#",,,,,
---,,,,,
Caveats:,,,,,
"1. When you group results by 15 Leading Causes, results show the top 15 rankable causes for the query criteria. Rankable causes",,,,,
are a subset of the ICD 113 and ICD 130 (Infants) Cause Lists. More information:,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Top15.,,,,,
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,",,,,,
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:",,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated.,,,,,
"3. The population figures for years 2023 are single-race estimates of the July 1 resident population, from the Vintage 2023",,,,,
"postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is based on the Modified Blended Base produced",,,,,
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend",,,,,
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data",,,,,
from the internal Census Edited File (CEF). The population figures for years 2022 are single-race estimates of the July 1,,,,,
"resident population, from the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is",,,,,
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The",,,,,
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic",,,,,
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2021 are",,,,,
"single-race estimates of the July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of",,,,,
"the April 1, 2020 decennial population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30,",,,,,
"2022. The population figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020",,,,,
"postcensal series based on April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year",,,,,
"2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010",,,,,
"Census, released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the",,,,,
"July 1 resident population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on",,,,,
"June 20, 2019. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data.",,,,,
"4. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,",,,,,
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,",,,,,
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former",,,,,
counties are not available for 2022 and later years. More information:,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Connecticut-2022.,,,,,
