Notes,15 Leading Causes of Death,15 Leading Causes of Death Code,Deaths,Population,Crude Rate
,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",GR113-054,3989770,833394345,478.7
,#Malignant neoplasms (C00-C97),GR113-019,3525605,833394345,423
,#COVID-19 (U07.1),GR113-137,964124,833394345,115.7
,#Cerebrovascular diseases (I60-I69),GR113-070,931166,833394345,111.7
,#Chronic lower respiratory diseases (J40-J47),GR113-082,895684,833394345,107.5
,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",GR113-112,742251,833394345,89.1
,#Alzheimer disease (G30),GR113-052,731252,833394345,87.7
,#Diabetes mellitus (E10-E14),GR113-046,550103,833394345,66
,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",GR113-097,314974,833394345,37.8
,#Influenza and pneumonia (J09-J18),GR113-076,284710,833394345,34.2
,"#Chronic liver disease and cirrhosis (K70,K73-K74)",GR113-093,265310,833394345,31.8
,"#Essential hypertension and hypertensive renal disease (I10,I12,I15)",GR113-069,238215,833394345,28.6
,#Septicemia (A40-A41),GR113-010,234160,833394345,28.1
,#Parkinson disease (G20-G21),GR113-051,227953,833394345,27.4
,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,151265,833394345,18.2
---,,,,,
"Dataset: Underlying Cause of Death, 2018-2023, Single Race",,,,,
Query Parameters:,,,,,
Single-Year Ages: 45 years; 46 years; 47 years; 48 years; 49 years; 50 years; 51 years; 52 years; 53 years; 54 years; 55 years;,,,,,
56 years; 57 years; 58 years; 59 years; 60 years; 61 years; 62 years; 63 years; 64 years; 65 years; 66 years; 67 years; 68,,,,,
years; 69 years; 70 years; 71 years; 72 years; 73 years; 74 years; 75 years; 76 years; 77 years; 78 years; 79 years; 80 years;,,,,,
81 years; 82 years; 83 years; 84 years; 85 years; 86 years; 87 years; 88 years; 89 years; 90 years; 91 years; 92 years; 93,,,,,
years; 94 years; 95 years; 96 years; 97 years; 98 years; 99 years; 100+ years,,,,,
Group By: 15 Leading Causes of Death,,,,,
Show Totals: Disabled,,,,,
Show Zero Values: Disabled,,,,,
Show Suppressed: Disabled,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,
---,,,,,
"Query Date: Mar 13, 2025 7:23:34 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,",,,,,
