Notes,ICD Chapter,ICD Chapter Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,Diseases of the circulatory system,I00-I99,2018,2018,"Jan., 2018",Jan-18,14653,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"Feb., 2018",Feb-18,12176,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"Mar., 2018",Mar-18,12927,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"Apr., 2018",Apr-18,12312,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"May, 2018",May-18,11812,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"Jun., 2018",Jun-18,11445,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"Jul., 2018",Jul-18,11656,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"Aug., 2018",Aug-18,11640,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"Sep., 2018",Sep-18,11296,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"Oct., 2018",Oct-18,12355,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"Nov., 2018",Nov-18,12427,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2018,2018,"Dec., 2018",Dec-18,13111,Not Applicable,Not Applicable,Not Applicable
Total,Diseases of the circulatory system,I00-I99,2018,2018,,,147810,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"Jan., 2019",Jan-19,13447,Not Applicable,Not Applicable,Not Applicable
