Notes,ICD Chapter,ICD Chapter Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,Neoplasms,C00-D48,2018,2018,"Jan., 2018",Jan-18,52876,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"Feb., 2018",Feb-18,46447,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"Mar., 2018",Mar-18,50689,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"Apr., 2018",Apr-18,48786,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"May, 2018",May-18,49582,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"Jun., 2018",Jun-18,48344,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"Jul., 2018",Jul-18,49870,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"Aug., 2018",Aug-18,50582,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"Sep., 2018",Sep-18,49018,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"Oct., 2018",Oct-18,51631,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"Nov., 2018",Nov-18,49827,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2018,2018,"Dec., 2018",Dec-18,51622,Not Applicable,Not Applicable,Not Applicable
Total,Neoplasms,C00-D48,2018,2018,,,599274,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Jan., 2019",Jan-19,52087,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Feb., 2019",Feb-19,46739,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Mar., 2019",Mar-19,51450,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Apr., 2019",Apr-19,48493,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"May, 2019",May-19,50627,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Jun., 2019",Jun-19,48621,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Jul., 2019",Jul-19,50055,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Aug., 2019",Aug-19,50508,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Sep., 2019",Sep-19,48945,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Oct., 2019",Oct-19,51501,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Nov., 2019",Nov-19,49697,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2019,2019,"Dec., 2019",Dec-19,50878,Not Applicable,Not Applicable,Not Applicable
Total,Neoplasms,C00-D48,2019,2019,,,599601,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Jan., 2020",Jan-20,52549,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Feb., 2020",Feb-20,48694,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Mar., 2020",Mar-20,51556,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Apr., 2020",Apr-20,48703,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"May, 2020",May-20,48958,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Jun., 2020",Jun-20,47908,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Jul., 2020",Jul-20,50565,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Aug., 2020",Aug-20,51156,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Sep., 2020",Sep-20,49617,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Oct., 2020",Oct-20,51197,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Nov., 2020",Nov-20,49595,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2020,2020,"Dec., 2020",Dec-20,51852,Not Applicable,Not Applicable,Not Applicable
Total,Neoplasms,C00-D48,2020,2020,,,602350,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Jan., 2021",Jan-21,51533,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Feb., 2021",Feb-21,46026,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Mar., 2021",Mar-21,50262,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Apr., 2021",Apr-21,49232,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"May, 2021",May-21,50506,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Jun., 2021",Jun-21,49192,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Jul., 2021",Jul-21,51212,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Aug., 2021",Aug-21,52286,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Sep., 2021",Sep-21,50227,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Oct., 2021",Oct-21,52047,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Nov., 2021",Nov-21,50271,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2021,2021,"Dec., 2021",Dec-21,52419,Not Applicable,Not Applicable,Not Applicable
Total,Neoplasms,C00-D48,2021,2021,,,605213,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Jan., 2022",Jan-22,53133,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Feb., 2022",Feb-22,46359,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Mar., 2022",Mar-22,50975,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Apr., 2022",Apr-22,48914,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"May, 2022",May-22,50604,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Jun., 2022",Jun-22,49131,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Jul., 2022",Jul-22,51111,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Aug., 2022",Aug-22,51515,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Sep., 2022",Sep-22,50251,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Oct., 2022",Oct-22,52031,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Nov., 2022",Nov-22,51026,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2022,2022,"Dec., 2022",Dec-22,53321,Not Applicable,Not Applicable,Not Applicable
Total,Neoplasms,C00-D48,2022,2022,,,608371,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Jan., 2023 ",Jan-23,52346,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Feb., 2023 ",Feb-23,47599,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Mar., 2023 ",Mar-23,51770,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Apr., 2023 ",Apr-23,49511,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"May, 2023 ",May-23,51163,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Jun., 2023 ",Jun-23,49931,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Jul., 2023 ",Jul-23,51397,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Aug., 2023 ",Aug-23,52195,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Sep., 2023 ",Sep-23,50429,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Oct., 2023 ",Oct-23,52779,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Nov., 2023 ",Nov-23,50670,Not Applicable,Not Applicable,Not Applicable
,Neoplasms,C00-D48,2023,2023,"Dec., 2023 ",Dec-23,53562,Not Applicable,Not Applicable,Not Applicable
Total,Neoplasms,C00-D48,2023,2023,,,613352,Not Applicable,Not Applicable,Not Applicable
Total,Neoplasms,C00-D48,,,,,3628161,Not Applicable,Not Applicable,Not Applicable
Total,,,,,,,3628161,Not Applicable,Not Applicable,Not Applicable
