Notes,ICD Chapter,ICD Chapter Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Codes for special purposes,U00-U99,< 1 year,1,326,22262530,1.5
,Codes for special purposes,U00-U99,1-4 years,04-Jan,218,92302571,0.2
,Codes for special purposes,U00-U99,5-14 years,14-May,372,246687153,0.2
,Codes for special purposes,U00-U99,15-24 years,15-24,2440,259530880,0.9
,Codes for special purposes,U00-U99,25-34 years,25-34,10275,274246662,3.7
,Codes for special purposes,U00-U99,35-44 years,35-44,26444,256563136,10.3
,Codes for special purposes,U00-U99,45-54 years,45-54,64659,244486596,26.4
,Codes for special purposes,U00-U99,55-64 years,55-64,143755,253867762,56.6
,Codes for special purposes,U00-U99,65-74 years,65-74,229949,196664992,116.9
,Codes for special purposes,U00-U99,75-84 years,75-84,262442,99910510,262.7
,Codes for special purposes,U00-U99,85+ years,85+,263319,38464485,684.6
