Notes,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Education,Education Code,Deaths,Population,Crude Rate
,< 1 year,0,Female,F,8th grade or less,1,113,Not Applicable,Not Applicable
,< 1 year,0,Female,F,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,< 1 year,0,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,< 1 year,0,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,< 1 year,0,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,< 1 year,0,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,< 1 year,0,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,< 1 year,0,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,< 1 year,0,Female,F,Unknown or Not Stated,9,19,Not Applicable,Not Applicable
,< 1 year,0,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,< 1 year,0,Male,M,8th grade or less,1,147,Not Applicable,Not Applicable
,< 1 year,0,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,< 1 year,0,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,< 1 year,0,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,< 1 year,0,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,< 1 year,0,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,< 1 year,0,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,< 1 year,0,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,< 1 year,0,Male,M,Unknown or Not Stated,9,12,Not Applicable,Not Applicable
,< 1 year,0,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,1 year,1,Female,F,8th grade or less,1,34,Not Applicable,Not Applicable
,1 year,1,Female,F,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,1 year,1,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,1 year,1,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,1 year,1,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,1 year,1,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,1 year,1,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,1 year,1,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,1 year,1,Female,F,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,1 year,1,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,1 year,1,Male,M,8th grade or less,1,48,Not Applicable,Not Applicable
,1 year,1,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,1 year,1,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,1 year,1,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,1 year,1,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,1 year,1,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,1 year,1,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,1 year,1,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,1 year,1,Male,M,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,1 year,1,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,2 years,2,Female,F,8th grade or less,1,15,Not Applicable,Not Applicable
,2 years,2,Female,F,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,2 years,2,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,2 years,2,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,2 years,2,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,2 years,2,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,2 years,2,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,2 years,2,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,2 years,2,Female,F,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,2 years,2,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,2 years,2,Male,M,8th grade or less,1,19,Not Applicable,Not Applicable
,2 years,2,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,2 years,2,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
