Notes,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate
,2018,2018,"Jan., 2018",Jan-18,286744,Not Applicable,Not Applicable
,2018,2018,"Feb., 2018",Feb-18,236998,Not Applicable,Not Applicable
,2018,2018,"Mar., 2018",Mar-18,248805,Not Applicable,Not Applicable
,2018,2018,"Apr., 2018",Apr-18,233164,Not Applicable,Not Applicable
,2018,2018,"May, 2018",May-18,228772,Not Applicable,Not Applicable
,2018,2018,"Jun., 2018",Jun-18,220103,Not Applicable,Not Applicable
,2018,2018,"Jul., 2018",Jul-18,225111,Not Applicable,Not Applicable
,2018,2018,"Aug., 2018",Aug-18,224254,Not Applicable,Not Applicable
,2018,2018,"Sep., 2018",Sep-18,218696,Not Applicable,Not Applicable
,2018,2018,"Oct., 2018",Oct-18,233903,Not Applicable,Not Applicable
,2018,2018,"Nov., 2018",Nov-18,233375,Not Applicable,Not Applicable
,2018,2018,"Dec., 2018",Dec-18,249280,Not Applicable,Not Applicable
Total,2018,2018,,,2839205,Not Applicable,Not Applicable
,2019,2019,"Jan., 2019",Jan-19,257649,Not Applicable,Not Applicable
,2019,2019,"Feb., 2019",Feb-19,232821,Not Applicable,Not Applicable
,2019,2019,"Mar., 2019",Mar-19,254929,Not Applicable,Not Applicable
,2019,2019,"Apr., 2019",Apr-19,235254,Not Applicable,Not Applicable
,2019,2019,"May, 2019",May-19,236893,Not Applicable,Not Applicable
,2019,2019,"Jun., 2019",Jun-19,225422,Not Applicable,Not Applicable
,2019,2019,"Jul., 2019",Jul-19,229211,Not Applicable,Not Applicable
,2019,2019,"Aug., 2019",Aug-19,227280,Not Applicable,Not Applicable
,2019,2019,"Sep., 2019",Sep-19,222715,Not Applicable,Not Applicable
,2019,2019,"Oct., 2019",Oct-19,237661,Not Applicable,Not Applicable
,2019,2019,"Nov., 2019",Nov-19,239028,Not Applicable,Not Applicable
,2019,2019,"Dec., 2019",Dec-19,255975,Not Applicable,Not Applicable
Total,2019,2019,,,2854838,Not Applicable,Not Applicable
,2020,2020,"Jan., 2020",Jan-20,264062,Not Applicable,Not Applicable
,2020,2020,"Feb., 2020",Feb-20,244431,Not Applicable,Not Applicable
,2020,2020,"Mar., 2020",Mar-20,269239,Not Applicable,Not Applicable
,2020,2020,"Apr., 2020",Apr-20,321879,Not Applicable,Not Applicable
,2020,2020,"May, 2020",May-20,280152,Not Applicable,Not Applicable
,2020,2020,"Jun., 2020",Jun-20,249993,Not Applicable,Not Applicable
,2020,2020,"Jul., 2020",Jul-20,278409,Not Applicable,Not Applicable
,2020,2020,"Aug., 2020",Aug-20,276731,Not Applicable,Not Applicable
,2020,2020,"Sep., 2020",Sep-20,256732,Not Applicable,Not Applicable
,2020,2020,"Oct., 2020",Oct-20,273443,Not Applicable,Not Applicable
,2020,2020,"Nov., 2020",Nov-20,302090,Not Applicable,Not Applicable
,2020,2020,"Dec., 2020",Dec-20,366568,Not Applicable,Not Applicable
Total,2020,2020,,,3383729,Not Applicable,Not Applicable
,2021,2021,"Jan., 2021",Jan-21,372916,Not Applicable,Not Applicable
,2021,2021,"Feb., 2021",Feb-21,282015,Not Applicable,Not Applicable
,2021,2021,"Mar., 2021",Mar-21,270527,Not Applicable,Not Applicable
,2021,2021,"Apr., 2021",Apr-21,256523,Not Applicable,Not Applicable
,2021,2021,"May, 2021",May-21,257798,Not Applicable,Not Applicable
,2021,2021,"Jun., 2021",Jun-21,244671,Not Applicable,Not Applicable
,2021,2021,"Jul., 2021",Jul-21,257328,Not Applicable,Not Applicable
,2021,2021,"Aug., 2021",Aug-21,303261,Not Applicable,Not Applicable
,2021,2021,"Sep., 2021",Sep-21,311830,Not Applicable,Not Applicable
,2021,2021,"Oct., 2021",Oct-21,299591,Not Applicable,Not Applicable
,2021,2021,"Nov., 2021",Nov-21,288483,Not Applicable,Not Applicable
,2021,2021,"Dec., 2021",Dec-21,319288,Not Applicable,Not Applicable
Total,2021,2021,,,3464231,Not Applicable,Not Applicable
,2022,2022,"Jan., 2022",Jan-22,369459,Not Applicable,Not Applicable
,2022,2022,"Feb., 2022",Feb-22,290309,Not Applicable,Not Applicable
,2022,2022,"Mar., 2022",Mar-22,268246,Not Applicable,Not Applicable
,2022,2022,"Apr., 2022",Apr-22,246083,Not Applicable,Not Applicable
,2022,2022,"May, 2022",May-22,254396,Not Applicable,Not Applicable
,2022,2022,"Jun., 2022",Jun-22,248080,Not Applicable,Not Applicable
,2022,2022,"Jul., 2022",Jul-22,260129,Not Applicable,Not Applicable
,2022,2022,"Aug., 2022",Aug-22,258926,Not Applicable,Not Applicable
,2022,2022,"Sep., 2022",Sep-22,250891,Not Applicable,Not Applicable
,2022,2022,"Oct., 2022",Oct-22,264956,Not Applicable,Not Applicable
,2022,2022,"Nov., 2022",Nov-22,268002,Not Applicable,Not Applicable
,2022,2022,"Dec., 2022",Dec-22,300380,Not Applicable,Not Applicable
Total,2022,2022,,,3279857,Not Applicable,Not Applicable
,2023,2023,"Jan., 2023 ",Jan-23,288757,Not Applicable,Not Applicable
,2023,2023,"Feb., 2023 ",Feb-23,248665,Not Applicable,Not Applicable
,2023,2023,"Mar., 2023 ",Mar-23,268769,Not Applicable,Not Applicable
