Notes,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Education,Education Code,Deaths,Population,Crude Rate
,< 1 year,0,Female,F,8th grade or less,1,1465,Not Applicable,Not Applicable
,< 1 year,0,Female,F,Unknown or Not Stated,9,243,Not Applicable,Not Applicable
,< 1 year,0,Male,M,8th grade or less,1,1967,Not Applicable,Not Applicable
,< 1 year,0,Male,M,Unknown or Not Stated,9,276,Not Applicable,Not Applicable
,1 year,1,Female,F,8th grade or less,1,496,Not Applicable,Not Applicable
,1 year,1,Female,F,Unknown or Not Stated,9,47,Not Applicable,Not Applicable
,1 year,1,Male,M,8th grade or less,1,628,Not Applicable,Not Applicable
,1 year,1,Male,M,Unknown or Not Stated,9,84,Not Applicable,Not Applicable
,2 years,2,Female,F,8th grade or less,1,349,Not Applicable,Not Applicable
,2 years,2,Female,F,Unknown or Not Stated,9,46,Not Applicable,Not Applicable
,2 years,2,Male,M,8th grade or less,1,621,Not Applicable,Not Applicable
,2 years,2,Male,M,Unknown or Not Stated,9,69,Not Applicable,Not Applicable
,3 years,3,Female,F,8th grade or less,1,325,Not Applicable,Not Applicable
,3 years,3,Female,F,Unknown or Not Stated,9,24,Not Applicable,Not Applicable
,3 years,3,Male,M,8th grade or less,1,467,Not Applicable,Not Applicable
,3 years,3,Male,M,Unknown or Not Stated,9,45,Not Applicable,Not Applicable
,4 years,4,Female,F,8th grade or less,1,217,Not Applicable,Not Applicable
,4 years,4,Female,F,Unknown or Not Stated,9,19,Not Applicable,Not Applicable
,4 years,4,Male,M,8th grade or less,1,389,Not Applicable,Not Applicable
,4 years,4,Male,M,Unknown or Not Stated,9,36,Not Applicable,Not Applicable
,5 years,5,Female,F,8th grade or less,1,204,Not Applicable,Not Applicable
,5 years,5,Male,M,8th grade or less,1,356,Not Applicable,Not Applicable
,5 years,5,Male,M,Unknown or Not Stated,9,14,Not Applicable,Not Applicable
,6 years,6,Female,F,8th grade or less,1,198,Not Applicable,Not Applicable
,6 years,6,Male,M,8th grade or less,1,281,Not Applicable,Not Applicable
,7 years,7,Female,F,8th grade or less,1,185,Not Applicable,Not Applicable
,7 years,7,Male,M,8th grade or less,1,222,Not Applicable,Not Applicable
,8 years,8,Female,F,8th grade or less,1,152,Not Applicable,Not Applicable
,8 years,8,Male,M,8th grade or less,1,238,Not Applicable,Not Applicable
,9 years,9,Female,F,8th grade or less,1,145,Not Applicable,Not Applicable
,9 years,9,Male,M,8th grade or less,1,226,Not Applicable,Not Applicable
,10 years,10,Female,F,8th grade or less,1,139,Not Applicable,Not Applicable
,10 years,10,Male,M,8th grade or less,1,222,Not Applicable,Not Applicable
,11 years,11,Female,F,8th grade or less,1,152,Not Applicable,Not Applicable
,11 years,11,Male,M,8th grade or less,1,258,Not Applicable,Not Applicable
,12 years,12,Female,F,8th grade or less,1,158,Not Applicable,Not Applicable
,12 years,12,Male,M,8th grade or less,1,280,Not Applicable,Not Applicable
,13 years,13,Female,F,8th grade or less,1,213,Not Applicable,Not Applicable
,13 years,13,Male,M,8th grade or less,1,425,Not Applicable,Not Applicable
,13 years,13,Male,M,9th through 12th grade with no diploma,2,11,Not Applicable,Not Applicable
,14 years,14,Female,F,8th grade or less,1,147,Not Applicable,Not Applicable
,14 years,14,Female,F,9th through 12th grade with no diploma,2,143,Not Applicable,Not Applicable
,14 years,14,Male,M,8th grade or less,1,335,Not Applicable,Not Applicable
,14 years,14,Male,M,9th through 12th grade with no diploma,2,256,Not Applicable,Not Applicable
,15 years,15,Female,F,8th grade or less,1,33,Not Applicable,Not Applicable
,15 years,15,Female,F,9th through 12th grade with no diploma,2,370,Not Applicable,Not Applicable
,15 years,15,Male,M,8th grade or less,1,97,Not Applicable,Not Applicable
,15 years,15,Male,M,9th through 12th grade with no diploma,2,723,Not Applicable,Not Applicable
,16 years,16,Female,F,8th grade or less,1,12,Not Applicable,Not Applicable
,16 years,16,Female,F,9th through 12th grade with no diploma,2,598,Not Applicable,Not Applicable
,16 years,16,Female,F,High school graduate or GED completed,3,17,Not Applicable,Not Applicable
,16 years,16,Male,M,8th grade or less,1,50,Not Applicable,Not Applicable
,16 years,16,Male,M,9th through 12th grade with no diploma,2,1234,Not Applicable,Not Applicable
,16 years,16,Male,M,High school graduate or GED completed,3,30,Not Applicable,Not Applicable
,17 years,17,Female,F,8th grade or less,1,10,Not Applicable,Not Applicable
,17 years,17,Female,F,9th through 12th grade with no diploma,2,744,Not Applicable,Not Applicable
,17 years,17,Female,F,High school graduate or GED completed,3,136,Not Applicable,Not Applicable
,17 years,17,Female,F,"Some college credit, but not a degree.",4,10,Not Applicable,Not Applicable
,17 years,17,Male,M,8th grade or less,1,71,Not Applicable,Not Applicable
,17 years,17,Male,M,9th through 12th grade with no diploma,2,1588,Not Applicable,Not Applicable
,17 years,17,Male,M,High school graduate or GED completed,3,304,Not Applicable,Not Applicable
,17 years,17,Male,M,"Some college credit, but not a degree.",4,12,Not Applicable,Not Applicable
,17 years,17,Male,M,Unknown or Not Stated,9,12,Not Applicable,Not Applicable
,18 years,18,Female,F,8th grade or less,1,19,Not Applicable,Not Applicable
,18 years,18,Female,F,9th through 12th grade with no diploma,2,389,Not Applicable,Not Applicable
,18 years,18,Female,F,High school graduate or GED completed,3,579,Not Applicable,Not Applicable
,18 years,18,Female,F,"Some college credit, but not a degree.",4,160,Not Applicable,Not Applicable
,18 years,18,Female,F,"Associate degree (AA,AS)",5,12,Not Applicable,Not Applicable
,18 years,18,Male,M,8th grade or less,1,81,Not Applicable,Not Applicable
,18 years,18,Male,M,9th through 12th grade with no diploma,2,1055,Not Applicable,Not Applicable
,18 years,18,Male,M,High school graduate or GED completed,3,1509,Not Applicable,Not Applicable
,18 years,18,Male,M,"Some college credit, but not a degree.",4,227,Not Applicable,Not Applicable
,18 years,18,Male,M,Unknown or Not Stated,9,16,Not Applicable,Not Applicable
,19 years,19,Female,F,8th grade or less,1,16,Not Applicable,Not Applicable
,19 years,19,Female,F,9th through 12th grade with no diploma,2,254,Not Applicable,Not Applicable
,19 years,19,Female,F,High school graduate or GED completed,3,626,Not Applicable,Not Applicable
,19 years,19,Female,F,"Some college credit, but not a degree.",4,325,Not Applicable,Not Applicable
,19 years,19,Female,F,"Associate degree (AA,AS)",5,24,Not Applicable,Not Applicable
,19 years,19,Female,F,Unknown or Not Stated,9,12,Not Applicable,Not Applicable
,19 years,19,Male,M,8th grade or less,1,124,Not Applicable,Not Applicable
,19 years,19,Male,M,9th through 12th grade with no diploma,2,721,Not Applicable,Not Applicable
,19 years,19,Male,M,High school graduate or GED completed,3,1915,Not Applicable,Not Applicable
,19 years,19,Male,M,"Some college credit, but not a degree.",4,561,Not Applicable,Not Applicable
,19 years,19,Male,M,"Associate degree (AA,AS)",5,45,Not Applicable,Not Applicable
,19 years,19,Male,M,Unknown or Not Stated,9,24,Not Applicable,Not Applicable
,20 years,20,Female,F,8th grade or less,1,14,Not Applicable,Not Applicable
,20 years,20,Female,F,9th through 12th grade with no diploma,2,238,Not Applicable,Not Applicable
,20 years,20,Female,F,High school graduate or GED completed,3,716,Not Applicable,Not Applicable
,20 years,20,Female,F,"Some college credit, but not a degree.",4,385,Not Applicable,Not Applicable
,20 years,20,Female,F,"Associate degree (AA,AS)",5,52,Not Applicable,Not Applicable
,20 years,20,Female,F,"Bachelor?s degree (BA, AB, BS)",6,11,Not Applicable,Not Applicable
,20 years,20,Female,F,Unknown or Not Stated,9,11,Not Applicable,Not Applicable
,20 years,20,Male,M,8th grade or less,1,130,Not Applicable,Not Applicable
,20 years,20,Male,M,9th through 12th grade with no diploma,2,731,Not Applicable,Not Applicable
,20 years,20,Male,M,High school graduate or GED completed,3,2056,Not Applicable,Not Applicable
,20 years,20,Male,M,"Some college credit, but not a degree.",4,667,Not Applicable,Not Applicable
,20 years,20,Male,M,"Associate degree (AA,AS)",5,79,Not Applicable,Not Applicable
,20 years,20,Male,M,"Bachelor?s degree (BA, AB, BS)",6,14,Not Applicable,Not Applicable
,20 years,20,Male,M,Unknown or Not Stated,9,32,Not Applicable,Not Applicable
,21 years,21,Female,F,8th grade or less,1,25,Not Applicable,Not Applicable
,21 years,21,Female,F,9th through 12th grade with no diploma,2,242,Not Applicable,Not Applicable
,21 years,21,Female,F,High school graduate or GED completed,3,719,Not Applicable,Not Applicable
,21 years,21,Female,F,"Some college credit, but not a degree.",4,398,Not Applicable,Not Applicable
,21 years,21,Female,F,"Associate degree (AA,AS)",5,80,Not Applicable,Not Applicable
,21 years,21,Female,F,"Bachelor?s degree (BA, AB, BS)",6,34,Not Applicable,Not Applicable
,21 years,21,Female,F,Unknown or Not Stated,9,12,Not Applicable,Not Applicable
,21 years,21,Male,M,8th grade or less,1,146,Not Applicable,Not Applicable
,21 years,21,Male,M,9th through 12th grade with no diploma,2,775,Not Applicable,Not Applicable
,21 years,21,Male,M,High school graduate or GED completed,3,2118,Not Applicable,Not Applicable
,21 years,21,Male,M,"Some college credit, but not a degree.",4,713,Not Applicable,Not Applicable
,21 years,21,Male,M,"Associate degree (AA,AS)",5,126,Not Applicable,Not Applicable
,21 years,21,Male,M,"Bachelor?s degree (BA, AB, BS)",6,55,Not Applicable,Not Applicable
,21 years,21,Male,M,Unknown or Not Stated,9,39,Not Applicable,Not Applicable
,22 years,22,Female,F,8th grade or less,1,22,Not Applicable,Not Applicable
,22 years,22,Female,F,9th through 12th grade with no diploma,2,268,Not Applicable,Not Applicable
,22 years,22,Female,F,High school graduate or GED completed,3,782,Not Applicable,Not Applicable
,22 years,22,Female,F,"Some college credit, but not a degree.",4,349,Not Applicable,Not Applicable
,22 years,22,Female,F,"Associate degree (AA,AS)",5,76,Not Applicable,Not Applicable
,22 years,22,Female,F,"Bachelor?s degree (BA, AB, BS)",6,104,Not Applicable,Not Applicable
,22 years,22,Female,F,Unknown or Not Stated,9,12,Not Applicable,Not Applicable
,22 years,22,Male,M,8th grade or less,1,163,Not Applicable,Not Applicable
,22 years,22,Male,M,9th through 12th grade with no diploma,2,860,Not Applicable,Not Applicable
,22 years,22,Male,M,High school graduate or GED completed,3,2304,Not Applicable,Not Applicable
,22 years,22,Male,M,"Some college credit, but not a degree.",4,741,Not Applicable,Not Applicable
,22 years,22,Male,M,"Associate degree (AA,AS)",5,154,Not Applicable,Not Applicable
,22 years,22,Male,M,"Bachelor?s degree (BA, AB, BS)",6,129,Not Applicable,Not Applicable
,22 years,22,Male,M,Unknown or Not Stated,9,38,Not Applicable,Not Applicable
,23 years,23,Female,F,8th grade or less,1,31,Not Applicable,Not Applicable
,23 years,23,Female,F,9th through 12th grade with no diploma,2,294,Not Applicable,Not Applicable
,23 years,23,Female,F,High school graduate or GED completed,3,841,Not Applicable,Not Applicable
,23 years,23,Female,F,"Some college credit, but not a degree.",4,390,Not Applicable,Not Applicable
,23 years,23,Female,F,"Associate degree (AA,AS)",5,92,Not Applicable,Not Applicable
,23 years,23,Female,F,"Bachelor?s degree (BA, AB, BS)",6,120,Not Applicable,Not Applicable
,23 years,23,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,10,Not Applicable,Not Applicable
,23 years,23,Male,M,8th grade or less,1,169,Not Applicable,Not Applicable
,23 years,23,Male,M,9th through 12th grade with no diploma,2,838,Not Applicable,Not Applicable
,23 years,23,Male,M,High school graduate or GED completed,3,2413,Not Applicable,Not Applicable
,23 years,23,Male,M,"Some college credit, but not a degree.",4,747,Not Applicable,Not Applicable
,23 years,23,Male,M,"Associate degree (AA,AS)",5,178,Not Applicable,Not Applicable
,23 years,23,Male,M,"Bachelor?s degree (BA, AB, BS)",6,227,Not Applicable,Not Applicable
,23 years,23,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,22,Not Applicable,Not Applicable
,23 years,23,Male,M,Unknown or Not Stated,9,53,Not Applicable,Not Applicable
,24 years,24,Female,F,8th grade or less,1,29,Not Applicable,Not Applicable
,24 years,24,Female,F,9th through 12th grade with no diploma,2,308,Not Applicable,Not Applicable
,24 years,24,Female,F,High school graduate or GED completed,3,866,Not Applicable,Not Applicable
,24 years,24,Female,F,"Some college credit, but not a degree.",4,356,Not Applicable,Not Applicable
,24 years,24,Female,F,"Associate degree (AA,AS)",5,87,Not Applicable,Not Applicable
,24 years,24,Female,F,"Bachelor?s degree (BA, AB, BS)",6,144,Not Applicable,Not Applicable
,24 years,24,Female,F,Unknown or Not Stated,9,15,Not Applicable,Not Applicable
,24 years,24,Male,M,8th grade or less,1,171,Not Applicable,Not Applicable
,24 years,24,Male,M,9th through 12th grade with no diploma,2,866,Not Applicable,Not Applicable
,24 years,24,Male,M,High school graduate or GED completed,3,2612,Not Applicable,Not Applicable
,24 years,24,Male,M,"Some college credit, but not a degree.",4,737,Not Applicable,Not Applicable
,24 years,24,Male,M,"Associate degree (AA,AS)",5,192,Not Applicable,Not Applicable
,24 years,24,Male,M,"Bachelor?s degree (BA, AB, BS)",6,277,Not Applicable,Not Applicable
,24 years,24,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,19,Not Applicable,Not Applicable
,24 years,24,Male,M,Unknown or Not Stated,9,43,Not Applicable,Not Applicable
,25 years,25,Female,F,8th grade or less,1,39,Not Applicable,Not Applicable
,25 years,25,Female,F,9th through 12th grade with no diploma,2,319,Not Applicable,Not Applicable
,25 years,25,Female,F,High school graduate or GED completed,3,933,Not Applicable,Not Applicable
,25 years,25,Female,F,"Some college credit, but not a degree.",4,350,Not Applicable,Not Applicable
,25 years,25,Female,F,"Associate degree (AA,AS)",5,120,Not Applicable,Not Applicable
,25 years,25,Female,F,"Bachelor?s degree (BA, AB, BS)",6,161,Not Applicable,Not Applicable
