"Ten-Year Age Groups","Sex","Education","Deaths","adjusted_population","Cause"
"< 1 year","Female","8th grade or less",23872,5327383,"All Deaths"
"< 1 year","Female","9th through 12th grade with no diploma",0,NA,"All Deaths"
"< 1 year","Female","High school graduate or GED completed",0,NA,"All Deaths"
"< 1 year","Female","Some college credit, but not a degree",0,NA,"All Deaths"
"< 1 year","Female","Associate degree (AA,AS)",0,NA,"All Deaths"
"< 1 year","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"All Deaths"
"< 1 year","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"All Deaths"
"< 1 year","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"All Deaths"
"< 1 year","Male","8th grade or less",29261,5568877,"All Deaths"
"< 1 year","Male","9th through 12th grade with no diploma",0,NA,"All Deaths"
"< 1 year","Male","High school graduate or GED completed",0,NA,"All Deaths"
"< 1 year","Male","Some college credit, but not a degree",0,NA,"All Deaths"
"< 1 year","Male","Associate degree (AA,AS)",0,NA,"All Deaths"
"< 1 year","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"All Deaths"
"< 1 year","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"All Deaths"
"< 1 year","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"All Deaths"
"1-4 years","Female","8th grade or less",4724,21990622,"All Deaths"
"1-4 years","Female","9th through 12th grade with no diploma",0,NA,"All Deaths"
"1-4 years","Female","High school graduate or GED completed",0,NA,"All Deaths"
"1-4 years","Female","Some college credit, but not a degree",0,NA,"All Deaths"
"1-4 years","Female","Associate degree (AA,AS)",0,NA,"All Deaths"
"1-4 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"All Deaths"
"1-4 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"All Deaths"
"1-4 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"All Deaths"
"1-4 years","Male","8th grade or less",6100,22989969,"All Deaths"
"1-4 years","Male","9th through 12th grade with no diploma",0,NA,"All Deaths"
"1-4 years","Male","High school graduate or GED completed",0,NA,"All Deaths"
"1-4 years","Male","Some college credit, but not a degree",0,NA,"All Deaths"
"1-4 years","Male","Associate degree (AA,AS)",0,NA,"All Deaths"
"1-4 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"All Deaths"
"1-4 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"All Deaths"
