Notes,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Education,Education Code,Deaths,Population,Crude Rate
,< 1 year,1,Female,F,8th grade or less,1,23872,Not Applicable,Not Applicable
,< 1 year,1,Female,F,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,< 1 year,1,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,< 1 year,1,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,< 1 year,1,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,< 1 year,1,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,< 1 year,1,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,< 1 year,1,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,< 1 year,1,Female,F,Unknown or Not Stated,9,3359,Not Applicable,Not Applicable
,< 1 year,1,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,< 1 year,1,Male,M,8th grade or less,1,29261,Not Applicable,Not Applicable
,< 1 year,1,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,< 1 year,1,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,< 1 year,1,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,< 1 year,1,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,< 1 year,1,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,< 1 year,1,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,< 1 year,1,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,< 1 year,1,Male,M,Unknown or Not Stated,9,4126,Not Applicable,Not Applicable
,< 1 year,1,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Female,F,8th grade or less,1,4724,Not Applicable,Not Applicable
,1-4 years,04-Jan,Female,F,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
