"Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Education","Education Code","Deaths","Population","Crude Rate","AGE","adjusted_population","Cause"
"< 1 year",0,"Female","F","8th grade or less",1,307,"Not Applicable","Not Applicable",0,5327383,"Diseases of Heart"
"< 1 year",0,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Male","M","8th grade or less",1,377,"Not Applicable","Not Applicable",0,5568877,"Diseases of Heart"
"< 1 year",0,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"< 1 year",0,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",0,NA,"Diseases of Heart"
"1 year",1,"Female","F","8th grade or less",1,80,"Not Applicable","Not Applicable",1,5370565,"Diseases of Heart"
"1 year",1,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Male","M","8th grade or less",1,87,"Not Applicable","Not Applicable",1,5615410,"Diseases of Heart"
"1 year",1,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"1 year",1,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",1,NA,"Diseases of Heart"
"2 years",2,"Female","F","8th grade or less",1,31,"Not Applicable","Not Applicable",2,5413405,"Diseases of Heart"
"2 years",2,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Male","M","8th grade or less",1,36,"Not Applicable","Not Applicable",2,5659268,"Diseases of Heart"
"2 years",2,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
