Notes,ICD Chapter,ICD Chapter Code,State,State Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,Neoplasms,C00-D48,Alabama,01,62679,29935229,209.4,160.4
,Neoplasms,C00-D48,Alaska,02,6260,4399803,142.3,145.5
,Neoplasms,C00-D48,Arizona,04,76316,43938621,173.7,130.9
,Neoplasms,C00-D48,Arkansas,05,39276,18201411,215.8,166.8
,Neoplasms,C00-D48,California,06,359623,235669717,152.6,131.2
,Neoplasms,C00-D48,Colorado,08,48875,34791624,140.5,125.9
,Neoplasms,C00-D48,Connecticut,09,39376,21543936,182.8,132.5
,Neoplasms,C00-D48,Delaware,10,13141,5981414,219.7,154.6
,Neoplasms,C00-D48,District of Columbia,11,5927,4141845,143.1,143.7
,Neoplasms,C00-D48,Florida,12,278294,131147051,212.2,138.1
,Neoplasms,C00-D48,Georgia,13,107930,64588584,167.1,149.2
,Neoplasms,C00-D48,Hawaii,15,15176,8560256,177.3,123.5
,Neoplasms,C00-D48,Idaho,16,18588,11172868,166.4,139.3
,Neoplasms,C00-D48,Illinois,17,142340,75803621,187.8,149.2
,Neoplasms,C00-D48,Indiana,18,82421,40680271,202.6,164.1
,Neoplasms,C00-D48,Iowa,19,38018,19075376,199.3,149.7
,Neoplasms,C00-D48,Kansas,20,33298,17550902,189.7,151.7
,Neoplasms,C00-D48,Kentucky,21,61458,26961184,227.9,179.1
,Neoplasms,C00-D48,Louisiana,22,55800,27742127,201.1,163.7
,Neoplasms,C00-D48,Maine,23,20371,8186066,248.8,159.4
,Neoplasms,C00-D48,Maryland,24,64778,36654242,176.7,141.5
,Neoplasms,C00-D48,Massachusetts,25,75121,41656322,180.3,136.5
,Neoplasms,C00-D48,Michigan,26,126264,60071512,210.2,156.8
,Neoplasms,C00-D48,Minnesota,27,60724,34070642,178.2,140.8
,Neoplasms,C00-D48,Mississippi,28,39483,17759177,222.3,177.9
,Neoplasms,C00-D48,Missouri,29,78176,36957728,211.5,160.9
,Neoplasms,C00-D48,Montana,30,12873,6571610,195.9,140.8
,Neoplasms,C00-D48,Nebraska,31,21279,11711222,181.7,147.9
,Neoplasms,C00-D48,Nevada,32,32389,18768746,172.6,143.4
,Neoplasms,C00-D48,New Hampshire,33,17085,8268721,206.6,144.2
,Neoplasms,C00-D48,New Jersey,34,93382,54492751,171.4,131.6
,Neoplasms,C00-D48,New Mexico,35,22204,12642168,175.6,132.2
,Neoplasms,C00-D48,New York,36,198636,117416826,169.2,127.8
,Neoplasms,C00-D48,North Carolina,37,121175,63558153,190.7,151.3
,Neoplasms,C00-D48,North Dakota,38,7784,4625583,168.3,138.2
,Neoplasms,C00-D48,Ohio,39,149711,70393769,212.7,160.2
,Neoplasms,C00-D48,Oklahoma,40,50132,23941096,209.4,172.7
,Neoplasms,C00-D48,Oregon,41,49995,25369607,197.1,148
,Neoplasms,C00-D48,Pennsylvania,42,166844,77290050,215.9,152.1
,Neoplasms,C00-D48,Rhode Island,44,12847,6459107,198.9,144
,Neoplasms,C00-D48,South Carolina,45,64404,31297775,205.8,154.2
,Neoplasms,C00-D48,South Dakota,46,10297,5384129,191.2,149
,Neoplasms,C00-D48,Tennessee,47,87031,41639064,209,165.5
,Neoplasms,C00-D48,Texas,48,254693,177119299,143.8,141.3
,Neoplasms,C00-D48,Utah,49,20736,19753451,105,119.2
,Neoplasms,C00-D48,Vermont,50,8581,3813733,225,151.7
,Neoplasms,C00-D48,Virginia,51,93229,51685358,180.4,146.7
,Neoplasms,C00-D48,Washington,53,79248,46181454,171.6,143.2
,Neoplasms,C00-D48,West Virginia,54,28130,10710952,262.6,177.6
,Neoplasms,C00-D48,Wisconsin,55,69416,35168059,197.4,148
,Neoplasms,C00-D48,Wyoming,56,6347,3483065,182.2,142.1
Total,Neoplasms,C00-D48,,,3628161,1984987277,182.8,144.9
Total,,,,,3628161,1984987277,182.8,144.9
