Notes,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,< 1 year,1,122588,22262530,550.6
,1-4 years,04-Jan,23066,92302571,25
,5-14 years,14-May,34789,246687153,14.1
,15-24 years,15-24,202991,259530880,78.2
,25-34 years,25-34,415600,274246662,151.5
,35-44 years,35-44,609736,256563136,237.7
,45-54 years,45-54,1082466,244486596,442.8
,55-64 years,55-64,2462568,253867762,970
,65-74 years,65-74,3794371,196664992,1929.4
,75-84 years,75-84,4638060,99910510,4642.2
,85+ years,85+,5525906,38464485,14366.3
,Not Stated,NS,683,Not Applicable,Not Applicable
Total,,,18912824,1984987277,952.8
